date.run,trial.no,prey,bin.no,crab.no,initial.count,initial.weight,final.count,final.weight,num.fully.eaten,num.attacked.only,avg.weight.consumed,collected.by,notes
21-Oct-21,A-1,hermit.crab,2,GRA-Lg33,12,14.1,12,14.6,0,0,0,BH,
21-Oct-21,A-1,hermit.crab,4,GRA-Lg17,12,11.5,11,14.5,1,0,-3,BH,"sifted rocks twice, no sign of predation"
21-Oct-21,A-1,hermit.crab,6,EGC-03,12,12.8,12,11.7,0,0,0,BH,
21-Oct-21,A-1,hermit.crab,8,GRA-Sm12,12,11.1,12,10.3,0,0,0,BH,
21-Oct-21,A-1,hermit.crab,10,GRA-Sm15,12,14.6,12,13.9,0,0,0,BH,"crab in poor condition at start, removed from trials (dead)"
22-Oct-21,B-1,hermit.crab,2,GRA-Lg31,12,14.6,12,12.5,0,0,0,BH,
22-Oct-21,B-1,hermit.crab,4,GRA-Lg18,12,13.1,12,11.5,0,0,0,BH,
22-Oct-21,B-1,hermit.crab,6,EGC-10,12,12.7,7,3.2,5,2,1.9,BH,"2 alive but shell-less, lots of shell debris "
22-Oct-21,B-1,hermit.crab,8,GRA-Sm26,12,12.5,12,11.2,0,0,0,BH,
22-Oct-21,B-1,hermit.crab,10,GRA-Sm16,12,12.4,11,11.1,1,0,1.3,BH,"searched rocks 2x, no visible sign of predation "
23-Oct-21,C-1,hermit.crab,2,GRA-Lg32,12,14.1,12,12.4,0,0,0,BH,
23-Oct-21,C-1,hermit.crab,4,GRA-Lg13,12,11.3,12,10.4,0,0,0,BH,
23-Oct-21,C-1,hermit.crab,6,EGC-16,12,14.7,12,N/A,0,1,0,BH,forgot to write down the weight! But one was shell-less and there was shell debris 
23-Oct-21,C-1,hermit.crab,8,GRA-Sm32,12,11.8,12,11.3,0,0,0,BH,
23-Oct-21,C-1,hermit.crab,10,GRA-Sm11,12,16.2,12,15.4,0,0,0,BH,
27-Oct-21,A-2,hermit.crab,2,GRA-Lg02,12,16.1,12,16.1,0,0,0,BH,
