date.run,trial.no,prey,bin.no,crab.no,length,weight,eaten,by.day1,by.day2,notes,require.correction
26-Nov-21,A-7,hairy.shore.crab,1,NA,NA,NA,NA,MY,MY,,NA
26-Nov-21,A-7,hairy.shore.crab,3,EGC-22,19,3.3,0,CW,MY,,no
26-Nov-21,A-7,hairy.shore.crab,3,EGC-22,11,2.1,1,CW,MY,,no
26-Nov-21,A-7,hairy.shore.crab,3,EGC-22,13,1,0,CW,MY,,no
26-Nov-21,A-7,hairy.shore.crab,3,EGC-22,22,5.3,0,CW,MY,,no
26-Nov-21,A-7,hairy.shore.crab,3,EGC-22,17,2.9,0,CW,MY,,no
26-Nov-21,A-7,hairy.shore.crab,5,EGC-01,20,4,0,CW,MY,,no
26-Nov-21,A-7,hairy.shore.crab,5,EGC-01,15,1.3,0,CW,MY,,no
26-Nov-21,A-7,hairy.shore.crab,5,EGC-01,18,2.8,0,CW,MY,,no
26-Nov-21,A-7,hairy.shore.crab,5,EGC-01,13,1,0,CW,MY,,no
26-Nov-21,A-7,hairy.shore.crab,5,EGC-01,19,3.7,0,CW,MY,,no
26-Nov-21,A-7,hairy.shore.crab,7,EGC-13,16,2.2,0,CW,MY,,no
26-Nov-21,A-7,hairy.shore.crab,7,EGC-13,20,4.6,0,CW,MY,,no
26-Nov-21,A-7,hairy.shore.crab,7,EGC-13,16,1.7,0,CW,MY,,no
26-Nov-21,A-7,hairy.shore.crab,7,EGC-13,20,3.7,0,CW,MY,,no
26-Nov-21,A-7,hairy.shore.crab,7,EGC-13,14,1.5,0,CW,MY,,no
26-Nov-21,A-7,hairy.shore.crab,9,NA,NA,NA,NA,CW,MY,,NA
02-Dec-21,A-8,hairy.shore.crab,1,NA,NA,NA,NA,BH,MY,,NA
02-Dec-21,A-8,hairy.shore.crab,3,NA,NA,NA,NA,BH,MY,,NA
02-Dec-21,A-8,hairy.shore.crab,5,EGC-03,20,5.1,0,BH,MY,missing 2 legs,no
02-Dec-21,A-8,hairy.shore.crab,5,EGC-03,15,1.5,0,BH,MY,,no
02-Dec-21,A-8,hairy.shore.crab,5,EGC-03,20,3.8,0,BH,MY,missing 1 leg,no
02-Dec-21,A-8,hairy.shore.crab,5,EGC-03,16,2.2,0,BH,MY,missing 1 leg,no
02-Dec-21,A-8,hairy.shore.crab,5,EGC-03,19,3.8,1,BH,MY,,no
02-Dec-21,A-8,hairy.shore.crab,7,GRA-Sm34,20,4.5,20,BH,MY,,no
02-Dec-21,A-8,hairy.shore.crab,7,GRA-Sm34,19,2.9,0,BH,MY,,no
02-Dec-21,A-8,hairy.shore.crab,7,GRA-Sm34,16,2.3,0,BH,MY,,no
02-Dec-21,A-8,hairy.shore.crab,7,GRA-Sm34,20,3.7,0,BH,MY,,no
02-Dec-21,A-8,hairy.shore.crab,7,GRA-Sm34,19,3.6,0,BH,MY,,no
02-Dec-21,A-8,hairy.shore.crab,9,GRA-Sm27,20,4.2,0,BH,MY,,no
02-Dec-21,A-8,hairy.shore.crab,9,GRA-Sm27,15,1.9,1,BH,MY,,no
02-Dec-21,A-8,hairy.shore.crab,9,GRA-Sm27,20,3.3,1,BH,MY,,no
02-Dec-21,A-8,hairy.shore.crab,9,GRA-Sm27,17,2.7,0,BH,MY,,no
02-Dec-21,A-8,hairy.shore.crab,9,GRA-Sm27,19,3.6,0,BH,MY,,no
27-Nov-21,B-7,hairy.shore.crab,1,GRA-Lg26,20,4.2,0,MY,LV,,maybe
27-Nov-21,B-7,hairy.shore.crab,1,GRA-Lg26,17,2.6,0,MY,LV,,maybe
27-Nov-21,B-7,hairy.shore.crab,1,GRA-Lg26,17,2.2,0,MY,LV,,maybe
27-Nov-21,B-7,hairy.shore.crab,1,GRA-Lg26,15,1.5,0,MY,LV,,maybe
