date.run,trial.no,prey,bin.no,crab.no,initial.count,initial.weight,final.count,final.weight,num.fully.eaten,num.attacked,sum.weight.consumed,collected.by,notes
26-Nov-21,A-7,hairy.shore.crab,1,NA,NA,NA,NA,NA,NA,NA,NA,MY,
26-Nov-21,A-7,hairy.shore.crab,3,EGC-22,5,14.6,4,12.5,1,0,2.1,MY,
26-Nov-21,A-7,hairy.shore.crab,5,EGC-01,5,12.8,5,12.8,0,0,0,MY,
26-Nov-21,A-7,hairy.shore.crab,7,EGC-13,5,13.7,5,13.7,0,0,0,MY,
26-Nov-21,A-7,hairy.shore.crab,9,NA,NA,NA,NA,NA,NA,NA,NA,MY,
02-Dec-21,A-8,hairy.shore.crab,1,NA,NA,NA,NA,NA,NA,NA,NA,MY,
02-Dec-21,A-8,hairy.shore.crab,3,NA,NA,NA,NA,NA,NA,NA,NA,MY,
02-Dec-21,A-8,hairy.shore.crab,5,EGC-03,5,16.4,4,12.2,1,0,4.2,MY,
02-Dec-21,A-8,hairy.shore.crab,7,GRA-Sm34,5,17,4,12.6,1,0,4.4,MY,
02-Dec-21,A-8,hairy.shore.crab,9,GRA-Sm27,5,15.7,3,10.3,2,0,5.4,MY,
27-Nov-21,B-7,hairy.shore.crab,1,GRA-Lg26,5,12.3,5,12.3,0,0,0,MY/LV,
27-Nov-21,B-7,hairy.shore.crab,3,GRA-Lg16,5,12.4,5,12.4,0,0,0,MY/LV,
27-Nov-21,B-7,hairy.shore.crab,5,EGC-04,5,11.4,4,7.8,1,0,3.6,MY/LV,
27-Nov-21,B-7,hairy.shore.crab,7,EGC-19,5,10.7,5,10.7,0,0,0,MY/LV,
27-Nov-21,B-7,hairy.shore.crab,9,GRA-Sm09,5,12.4,5,12.4,0,0,0,MY/LV,
03-Dec-21,B-8,hairy.shore.crab,1,NA,NA,NA,NA,NA,NA,NA,NA,CW/MY,
03-Dec-21,B-8,hairy.shore.crab,3,EGC-23,5,14.9,5,14.9,0,0,0,CW/MY,
03-Dec-21,B-8,hairy.shore.crab,5,EGC-10,5,12.5,5,12.5,0,0,0,CW/MY,
03-Dec-21,B-8,hairy.shore.crab,7,EGC-24,5,12.7,5,12.7,0,0,0,CW/MY,
03-Dec-21,B-8,hairy.shore.crab,9,GRA-Sm16,5,15.2,5,15.2,0,0,0,CW/MY,
28-Nov-21,C-7,hairy.shore.crab,1,EGC-39,5,15.1,5,15.1,0,0,0,LV/LV,
28-Nov-21,C-7,hairy.shore.crab,3,NA,NA,NA,NA,NA,NA,NA,NA,LV/LV,
28-Nov-21,C-7,hairy.shore.crab,5,EGC-15,5,13.9,5,13.9,0,0,0,LV/LV,
28-Nov-21,C-7,hairy.shore.crab,7,EGC-41,5,13.9,4,12.3,1,0,1.6,LV/LV,
28-Nov-21,C-7,hairy.shore.crab,9,EGC-43,5,15.1,5,15.1,0,0,0,LV/LV,
04-Dec-21,C-8,hairy.shore.crab,1,GRA-Lg32,5,14.2,5,14.2,0,0,0,MY/AP,
04-Dec-21,C-8,hairy.shore.crab,3,EGC-34,5,14.1,5,14.1,0,0,0,MY/AP,
04-Dec-21,C-8,hairy.shore.crab,5,EGC-16,5,14.3,5,14.3,0,0,0,MY/AP,
04-Dec-21,C-8,hairy.shore.crab,7,EGC-32,5,15.2,5,15.2,0,0,0,MY/AP,
04-Dec-21,C-8,hairy.shore.crab,9,NA,NA,NA,NA,NA,NA,NA,NA,MY/AP,
11-Nov-21,D-4,hairy.shore.crab,1,EGC-25,5,21.1,4,17.4,1,0,3.7,AP/LV,
11-Nov-21,D-4,hairy.shore.crab,3,GRA-Lg25,5,18.4,4,15,1,0,3.4,AP/LV,
11-Nov-21,D-4,hairy.shore.crab,5,GRA-Lg27,5,18.5,4,14.5,1,0,4,AP/LV,
11-Nov-21,D-4,hairy.shore.crab,7,EGC-42,5,14.9,5,14.9,0,0,0,AP/LV,
11-Nov-21,D-4,hairy.shore.crab,9,EGC-27,4,12.2,4,12.2,0,1,0,AP/LV,"1 HSC was eaten pre-trial by another crab by accident, so only 4 run, none consumed but one attacked"
17-Nov-21,D-5,hairy.shore.crab,1,GRA-Lg11,5,13.1,5,13.1,0,0,0,CW/BH,
17-Nov-21,D-5,hairy.shore.crab,3,GRA-Lg15,5,13.2,5,13.2,0,0,0,CW/BH,
17-Nov-21,D-5,hairy.shore.crab,5,EGC-12,5,12.3,4,10.9,1,0,1.4,CW/BH,
17-Nov-21,D-5,hairy.shore.crab,7,GRA-Sm22,5,11.2,5,11.2,0,0,0,CW/BH,
17-Nov-21,D-5,hairy.shore.crab,9,EGC-36,5,13.6,4,12.2,1,0,1.4,CW/BH,
12-Nov-21,E-4,hairy.shore.crab,1,EGC-05,5,13,4,11.5,1,0,1.5,LV/AP/MY,
12-Nov-21,E-4,hairy.shore.crab,3,EGC-09,5,12.8,5,12.8,0,0,0,LV/AP/MY,
12-Nov-21,E-4,hairy.shore.crab,5,EGC-29,5,12.3,5,12.3,0,0,0,LV/AP/MY,
12-Nov-21,E-4,hairy.shore.crab,7,GRA-Sm06,5,14.4,4,10,1,0,4.4,LV/AP/MY,
12-Nov-21,E-4,hairy.shore.crab,9,EGC-14,5,18.9,4,13.2,1,0,5.7,LV/AP/MY,
18-Nov-21,E-5,hairy.shore.crab,1,EGC-08,5,13.7,4,12,1,0,1.7,BH/CW,
18-Nov-21,E-5,hairy.shore.crab,3,EGC-11,5,11.1,5,11.1,0,0,0,BH/CW,
18-Nov-21,E-5,hairy.shore.crab,5,EGC-35,5,12.2,4,10.2,1,0,2,BH/CW,
18-Nov-21,E-5,hairy.shore.crab,7,NA,NA,NA,NA,NA,NA,NA,NA,BH/CW,
18-Nov-21,E-5,hairy.shore.crab,9,EGC-30,5,14.9,5,14.9,0,0,0,BH/CW,
13-Nov-21,F-4,hairy.shore.crab,1,GRA-Lg24,5,15.3,5,15.3,0,0,0,MY/AP,
13-Nov-21,F-4,hairy.shore.crab,3,GRA-Lg19,5,14.5,5,14.1,0,1,0.4,MY/AP,
13-Nov-21,F-4,hairy.shore.crab,5,EGC-06,5,12.9,4,8,1,0,4.9,MY/AP,
13-Nov-21,F-4,hairy.shore.crab,7,EGC-18,5,16,3,7.9,2,0,8.1,MY/AP,
13-Nov-21,F-4,hairy.shore.crab,9,NA,NA,NA,NA,NA,NA,NA,NA,MY/AP,
19-Nov-21,F-5,hairy.shore.crab,1,GRA-Lg03,5,14.2,3,5.4,2,0,8.8,CW/MY,
19-Nov-21,F-5,hairy.shore.crab,3,EGC-02,5,12.4,5,12.4,0,0,0,CW/MY,
19-Nov-21,F-5,hairy.shore.crab,5,EGC-07,5,11.6,4,8.6,1,0,3,CW/MY,
19-Nov-21,F-5,hairy.shore.crab,7,NA,NA,NA,NA,NA,NA,NA,NA,CW/MY,
19-Nov-21,F-5,hairy.shore.crab,9,GRA-Sm33,5,12.5,5,12.5,0,0,0,CW/MY,
