spp,spp.size,crab.no,sex,cw,lc,rc,wgt,group.inital,group.additional,notes.1,notes.2
EGC,EGC,EGC-01,F,74,12,21,127.7,A,A,NA,"appeared to release unfertilized eggs on Nov 7, returned to holding (appeared healthy, not bearing eggs) on Nov 10"
EGC,EGC,EGC-02,M,55,14,18,56.3,F,E,NA,minor damage to both claws
EGC,EGC,EGC-03,M,79,29,23,165.6,A,A,NA,NA
EGC,EGC,EGC-04,M,72,20,26,131,B,A,NA,NA
EGC,EGC,EGC-05,F,52,12,15,45.2,E,D,NA,new as of D4
EGC,EGC,EGC-06,F,69,16,21,100.6,F,E,NA,NA
EGC,EGC,EGC-07,F,66,9,17,81.5,F,F,NA,NA
EGC,EGC,EGC-08,M,76,21,28,142.2,E,D,two missing legs,NA
EGC,EGC,EGC-09,F,70,16,21,104.8,E,E,NA,NA
EGC,EGC,EGC-10,M,80,25,3,182.7,B,A,NA,NA
EGC,EGC,EGC-11,F,66,9,18,85.4,E,E,minor damage to both claws,two missing legs
EGC,EGC,EGC-12,M,74,21,28,139.9,D,C,NA,NA
EGC,EGC,EGC-13,F,62,8,18,76.9,A,A,missing one leg,missing one leg
EGC,EGC,EGC-14,M,79,23,31,166.7,E,E,NA,NA
EGC,EGC,EGC-15,F,70,16,20,108.4,C,B,NA,new as of B4
EGC,EGC,EGC-16,M,56,14,18,55,C,B,NA,new as of B4
EGC,EGC,EGC-17,F,61,14,17,67,NA,F,DNU - missing two legs and sig. damage to crusher claw,NA
EGC,EGC,EGC-18,M,80,23,30,189.9,F,F,NA,NA
EGC,EGC,EGC-19,F,71,16,20,102,B,B,NA,NA
EGC,EGC,EGC-20,F,56,12,NA,NA,NA,NA,DNU - missing claw,DNU
EGC,EGC,EGC-21,F,63,15,19,78.1,NA,N/A,NA,DNU - missing two legs and sig. damage to crusher claw
EGC,EGC,EGC-22,M,70,19,25,102.5,NA,A,NA,new as of A4
EGC,EGC,EGC-23,F,66,15,19,90.6,NA,N/A,NA,DNU - missing claw
EGC,EGC,EGC-24,M,82,25,35,195.9,NA,B,NA,NA
EGC,EGC,EGC-25,M,49,14,11,34.8,NA,C,very small!,"small, new as of C4"
EGC,EGC,EGC-26,M,53,14,18,49.2,NA,B,NA,NA
EGC,EGC,EGC-27,M,62,16,21,79.2,NA,NA,NA,NA
EGC,EGC,EGC-28,M,71,20,26,127.6,NA,F,NA,NA
EGC,EGC,EGC-29,F,67,15,19,91.6,NA,E,NA,NA
EGC,EGC,EGC-30,F,66,15,20,90.6,NA,E,NA,NA
EGC,EGC,EGC-31,F,63,13,17,NA,NA,NA,NA,NA
EGC,EGC,EGC-32,F,60,13,19,66.7,NA,C,NA,NA
