date.run,trial.no,prey,bin.no,crab.no,initial.count,initial.weight,final.count,final.weight,num.fully.eaten,num.attacked,sum.weight.consumed,collected.by,notes
14-Nov-21,A-5,isopod,2,GRA-Lg33,4,1.7,4,1.7,0,0,0,AP/LV,
14-Nov-21,A-5,isopod,4,GRA-Lg22,4,1.9,4,1.9,0,0,0,AP/LV,
14-Nov-21,A-5,isopod,6,EGC-03,4,2.1,4,2.1,0,0,0,AP/LV,
14-Nov-21,A-5,isopod,8,GRA-Sm34,4,0.9,3,0.8,1,0,0.1,AP/LV,possible predation
14-Nov-21,A-5,isopod,10,GRA-Sm27,4,1.3,2,0.3,2,0,1,AP/LV,predation 
20-Nov-21,A-6,isopod,2,EGC-20,4,1.4,4,1.5,0,0,-0.1,MY/LV,
20-Nov-21,A-6,isopod,4,EGC-22,4,1.6,4,1.6,0,0,0,MY/LV,
20-Nov-21,A-6,isopod,6,EGC-01,4,1.3,4,1,0,0,0.3,MY/LV,one was found outside the tank - assume it escaped 
20-Nov-21,A-6,isopod,8,EGC-13,4,1.7,4,1.7,0,0,0,MY/LV,
20-Nov-21,A-6,isopod,10,NA,NA,NA,NA,NA,NA,NA,NA,MY/LV,
15-Nov-21,B-5,isopod,2,GRA-Lg31,4,0.6,4,0.6,0,0,0,LV/MY,
15-Nov-21,B-5,isopod,4,EGC-23,4,1.4,3,1,1,0,0.4,LV/MY,no actual evidence of predation 
15-Nov-21,B-5,isopod,6,EGC-10,4,2,4,2,0,0,0,LV/MY,
15-Nov-21,B-5,isopod,8,EGC-24,4,1.5,4,1.5,0,0,0,LV/MY,
15-Nov-21,B-5,isopod,10,EGC-26,4,1.7,3,1.5,1,0,0.2,LV/MY,no actual evidence of predation 
21-Nov-21,B-6,isopod,2,GRA-Lg26,4,0.9,4,0.9,0,0,0,LV/AP,
21-Nov-21,B-6,isopod,4,GRA-Lg16,4,1.8,3,1.5,1,0,0.3,LV/AP,confirmed predation 
21-Nov-21,B-6,isopod,6,EGC-04,4,1.7,3,1.5,1,0,0.2,LV/AP,no evidence of predation 
21-Nov-21,B-6,isopod,8,NA,NA,NA,NA,NA,NA,NA,NA,LV/AP,
21-Nov-21,B-6,isopod,10,GRA-Sm09,4,1.6,4,1.6,0,0,0,LV/AP,
16-Nov-21,C-5,isopod,2,GRA-Lg32,4,1.4,4,1.4,0,0,0,MY/LV,
16-Nov-21,C-5,isopod,4,EGC-34,4,1.3,1,0,3,0,1.3,MY/LV,
16-Nov-21,C-5,isopod,6,EGC-16,4,1.6,3,1.2,1,0,0.4,MY/LV,
16-Nov-21,C-5,isopod,8,EGC-32,4,1.5,3,1.3,1,0,0.2,MY/LV,
16-Nov-21,C-5,isopod,10,EGC-40,4,1.4,1,0.2,3,0,1.2,MY/LV,
22-Nov-21,C-6,isopod,2,EGC-39,4,1.6,4,1.6,0,0,0,MY/LV,
22-Nov-21,C-6,isopod,4,EGC-31,4,1.4,4,1.4,0,0,0,MY/LV,
22-Nov-21,C-6,isopod,6,EGC-15,4,1.8,4,1.8,0,0,0,MY/LV,
22-Nov-21,C-6,isopod,8,EGC-41,4,1.4,3,1,1,0,0.4,MY/LV,
22-Nov-21,C-6,isopod,10,EGC-43,2,1.1,2,1.1,0,0,0,MY/LV,
24-Oct-21,D-1,isopod,2,GRA-Lg06,4,1.3,3,1,1,0,0.3,BH,carapace found
24-Oct-21,D-1,isopod,4,NA,NA,NA,NA,NA,NA,NA,NA,BH,
24-Oct-21,D-1,isopod,6,GRA-Lg27,4,1.5,3,0.9,1,0,0.6,BH,no evidence of predation 
24-Oct-21,D-1,isopod,8,EGC-42,4,1.6,3,1.7,1,0,-0.1,BH,evidence of predation 
24-Oct-21,D-1,isopod,10,GRA-Sm17,4,1.1,4,1.1,0,0,0,BH,
05-Dec-21,D-8,isopod,2,NA,NA,NA,NA,NA,NA,NA,NA,AP,
05-Dec-21,D-8,isopod,4,NA,NA,NA,NA,NA,NA,NA,NA,AP,
05-Dec-21,D-8,isopod,6,EGC-12,3,1.5,2,0.8,1,0,0.7,AP,"no actual evidence of predation, but holes blocked? "
05-Dec-21,D-8,isopod,8,GRA-Sm11,3,1.4,3,1.4,0,0,0,AP,
05-Dec-21,D-8,isopod,10,EGC-36,3,1.1,1,0.3,2,0,0.8,AP,"no actual evidence of predation, but holes blocked? "
25-Oct-21,E-1,isopod,2,EGC-05,4,2.1,2,0.4,2,0,1.7,BH,
25-Oct-21,E-1,isopod,4,EGC-09,4,1,3,1.1,1,0,-0.1,BH,
25-Oct-21,E-1,isopod,6,GRA-Sm03,4,1.6,4,1.9,0,0,-0.3,BH,
25-Oct-21,E-1,isopod,8,GRA-Sm06,4,1.3,3,1.4,1,0,-0.1,BH,
25-Oct-21,E-1,isopod,10,EGC-14,4,1.3,2,0.5,2,0,0.8,BH,
06-Dec-21,E-8,isopod,2,EGC-08,3,1.2,3,1.2,0,1,0,AP/MY,
06-Dec-21,E-8,isopod,4,EGC-11,3,1,3,1,0,0,0,AP/MY,
06-Dec-21,E-8,isopod,6,EGC-35,3,1.3,3,1.3,0,0,0,AP/MY,
06-Dec-21,E-8,isopod,8,NA,NA,NA,NA,NA,NA,NA,NA,AP/MY,
06-Dec-21,E-8,isopod,10,EGC-30,3,1.1,3,1.1,0,0,0,AP/MY,
26-Oct-21,F-1,isopod,2,NA,NA,NA,NA,NA,NA,NA,NA,BH,
26-Oct-21,F-1,isopod,4,GRA-Lg19,4,1.2,4,1.2,0,0,0,BH,
26-Oct-21,F-1,isopod,6,EGC-06,4,1.3,4,1.3,0,0,0,BH,
26-Oct-21,F-1,isopod,8,EGC-18,4,1.5,3,1.2,1,0,0.3,BH,
26-Oct-21,F-1,isopod,10,GRA-Sm07,4,1.4,4,1.2,0,0,0.2,BH,
07-Dec-21,F-8,isopod,2,NA,NA,NA,NA,NA,NA,NA,NA,MY/BH,
07-Dec-21,F-8,isopod,4,EGC-02,3,1.1,3,1.1,0,0,0,MY/BH,
07-Dec-21,F-8,isopod,6,EGC-07,3,1,3,1,0,0,0,MY/BH,
07-Dec-21,F-8,isopod,8,GRA-Sm05,3,1,0,0,3,0,1,MY/BH,possibly wasn't stocked (exits plugged)
07-Dec-21,F-8,isopod,10,NA,NA,NA,NA,NA,NA,NA,NA,MY/BH,
