date.run,trial.no,prey,bin.no,crab.no,length,weight,eaten,by.day1,by.day2,require.correction
02-Nov-21,A-3,purple.shore.crab,2,GRA-Lg33,25,6.7,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,2,GRA-Lg33,22,4.4,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,2,GRA-Lg33,17,2.2,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,2,GRA-Lg33,17,2.5,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,2,GRA-Lg33,19,3,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,4,GRA-Lg22,21,4,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,4,GRA-Lg22,17,2.5,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,4,GRA-Lg22,17,2.1,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,4,GRA-Lg22,24,6.2,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,4,GRA-Lg22,18,2.7,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,6,EGC-03,23,5,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,6,EGC-03,22,5,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,6,EGC-03,15,1.7,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,6,EGC-03,16,1.9,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,6,EGC-03,17,2.1,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,8,GRA-Sm34,16,1.8,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,8,GRA-Sm34,16,1.8,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,8,GRA-Sm34,14,1.6,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,8,GRA-Sm34,20,3.5,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,8,GRA-Sm34,21,4.9,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,10,GRA-Sm27,15,1.5,1,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,10,GRA-Sm27,18,2.8,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,10,GRA-Sm27,22,4.1,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,10,GRA-Sm27,16,1.9,0,BH/MY,BH/CW,no
02-Nov-21,A-3,purple.shore.crab,10,GRA-Sm27,14,1.3,0,BH/MY,BH/CW,no
08-Nov-21,A-4,purple.shore.crab,2,EGC-20,21,4.1,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,2,EGC-20,27,10,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,2,EGC-20,15,2.3,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,2,EGC-20,17,2.7,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,2,EGC-20,17,2.1,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,4,EGC-22,23,4.3,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,4,EGC-22,25,6.7,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,4,EGC-22,15,2.1,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,4,EGC-22,18,2.4,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,4,EGC-22,14,1.7,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,6,NA,NA,NA,NA,AP/LV,MY,NA
08-Nov-21,A-4,purple.shore.crab,8,EGC-13,23,5.3,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,8,EGC-13,24,6,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,8,EGC-13,18,2.8,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,8,EGC-13,17,2.5,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,8,EGC-13,16,1.8,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,10,GRA-Sm13,23,4.6,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,10,GRA-Sm13,21,4.8,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,10,GRA-Sm13,18,2.8,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,10,GRA-Sm13,15,1.6,0,AP/LV,MY,maybe
08-Nov-21,A-4,purple.shore.crab,10,GRA-Sm13,15,1.4,0,AP/LV,MY,maybe
03-Nov-21,B-3,purple.shore.crab,2,GRA-Lg31,20,3.5,0,CW,LV,no
03-Nov-21,B-3,purple.shore.crab,2,GRA-Lg31,24,6,0,CW,LV,no
03-Nov-21,B-3,purple.shore.crab,2,GRA-Lg31,19,3.3,0,CW,LV,no
03-Nov-21,B-3,purple.shore.crab,2,GRA-Lg31,19,2.8,0,CW,LV,no
03-Nov-21,B-3,purple.shore.crab,2,GRA-Lg31,18,2.7,0,CW,LV,no
03-Nov-21,B-3,purple.shore.crab,4,GRA-Lg18,20,9.7,0,CW,LV,no
03-Nov-21,B-3,purple.shore.crab,4,GRA-Lg18,22,5.4,0,CW,LV,no
03-Nov-21,B-3,purple.shore.crab,4,GRA-Lg18,20,3.6,0,CW,LV,no
03-Nov-21,B-3,purple.shore.crab,4,GRA-Lg18,18,2.5,0,CW,LV,no
03-Nov-21,B-3,purple.shore.crab,4,GRA-Lg18,17,2.3,0,CW,LV,no
03-Nov-21,B-3,purple.shore.crab,6,EGC-10,20,3.7,0,CW,LV,no
03-Nov-21,B-3,purple.shore.crab,6,EGC-10,22,4.2,0,CW,LV,no
03-Nov-21,B-3,purple.shore.crab,6,EGC-10,17,2.3,0,CW,LV,no
03-Nov-21,B-3,purple.shore.crab,6,EGC-10,16,2.1,0,CW,LV,no
03-Nov-21,B-3,purple.shore.crab,6,EGC-10,19,2.5,0,CW,LV,no
03-Nov-21,B-3,purple.shore.crab,8,GRA-Sm26,19,3.1,0,CW,LV,no
