date.run,trial.no,prey,bin.no,crab.no,initial.count,initial.weight,final.count,final.weight,num.fully.eaten,num.attacked,sum.weight.consumed,collected.by,notes
02-Nov-21,A-3,purple.shore.crab,2,GRA-Lg33,5,18.8,5,18.8,0,0,0,BH,
02-Nov-21,A-3,purple.shore.crab,4,GRA-Lg22,5,17.5,5,17.5,0,0,0,BH,
02-Nov-21,A-3,purple.shore.crab,6,EGC-03,5,15.7,5,15.7,0,0,0,BH,
02-Nov-21,A-3,purple.shore.crab,8,GRA-Sm34,5,13.6,5,13.6,0,0,0,BH,
02-Nov-21,A-3,purple.shore.crab,10,GRA-Sm27,5,11.6,4,10.1,1,0,1.5,BH,
08-Nov-21,A-4,purple.shore.crab,2,EGC-20,5,21.2,5,21.2,0,0,0,AP/LV/MY,
08-Nov-21,A-4,purple.shore.crab,4,EGC-22,5,17.2,5,17.2,0,0,0,AP/LV/MY,
08-Nov-21,A-4,purple.shore.crab,6,NA,NA,NA,NA,NA,NA,NA,NA,AP/LV/MY,
08-Nov-21,A-4,purple.shore.crab,8,EGC-13,5,18.4,5,18.4,0,0,0,AP/LV/MY,
08-Nov-21,A-4,purple.shore.crab,10,GRA-Sm13,5,15.2,5,15.2,0,0,0,AP/LV/MY,
03-Nov-21,B-3,purple.shore.crab,2,GRA-Lg31,5,18.3,5,18.3,0,0,0,CW/LV,
03-Nov-21,B-3,purple.shore.crab,4,GRA-Lg18,5,23.5,5,23.5,0,0,0,CW/LV,
03-Nov-21,B-3,purple.shore.crab,6,EGC-10,5,14.8,5,14.8,0,0,0,CW/LV,1 mortality unrelated to predation 
03-Nov-21,B-3,purple.shore.crab,8,GRA-Sm26,5,12.8,5,12.8,0,0,0,CW/LV,
03-Nov-21,B-3,purple.shore.crab,10,GRA-Sm16,5,14.5,5,14.5,0,0,0,CW/LV,
09-Nov-21,B-4,purple.shore.crab,2,GRA-Lg26,5,11.5,5,11.5,0,0,0,MY/CW,
09-Nov-21,B-4,purple.shore.crab,4,GRA-Lg16,5,11.6,5,11.6,0,0,0,MY/CW,
09-Nov-21,B-4,purple.shore.crab,6,EGC-04,5,17,4,15.4,1,0,1.6,MY/CW,
09-Nov-21,B-4,purple.shore.crab,8,EGC-19,5,19.6,5,19.6,0,0,0,MY/CW,
09-Nov-21,B-4,purple.shore.crab,10,GRA-Sm09,5,16,5,16,0,1,0,MY/CW,2 legs missing on one individual could be possible predation 
04-Nov-21,C-3,purple.shore.crab,2,GRA-Lg32,5,13.6,5,13.6,0,0,0,BH/CW,
04-Nov-21,C-3,purple.shore.crab,4,NA,NA,NA,NA,NA,NA,NA,NA,BH/CW,
04-Nov-21,C-3,purple.shore.crab,6,EGC-16,5,12.3,4,10.2,1,1,2.1,BH/CW,
04-Nov-21,C-3,purple.shore.crab,8,EGC-28,5,20.4,4,14.9,1,0,5.5,BH/CW,
04-Nov-21,C-3,purple.shore.crab,10,GRA-Sm11,5,17.6,5,17.6,0,0,0,BH/CW,
10-Nov-21,C-4,purple.shore.crab,2,EGC-39,5,18.2,5,18.2,0,0,0,BH/CW,
10-Nov-21,C-4,purple.shore.crab,4,NA,NA,NA,NA,NA,NA,NA,NA,BH/CW,
10-Nov-21,C-4,purple.shore.crab,6,EGC-15,5,18,5,18,0,0,0,BH/CW,
10-Nov-21,C-4,purple.shore.crab,8,EGC-41,5,18.5,5,18.5,0,1,0,BH/CW,
10-Nov-21,C-4,purple.shore.crab,10,EGC-43,5,16.4,5,16.4,0,0,0,BH/CW,
23-Nov-21,D-6,purple.shore.crab,2,NA,NA,NA,NA,NA,NA,NA,NA,MY,
23-Nov-21,D-6,purple.shore.crab,4,GRA-Lg15,5,23.3,5,23.3,0,0,0,MY,
23-Nov-21,D-6,purple.shore.crab,6,EGC-12,5,18.8,4,12.2,1,0,6.6,MY,
23-Nov-21,D-6,purple.shore.crab,8,GRA-Sm11,5,15.5,5,15.5,0,0,0,MY,
23-Nov-21,D-6,purple.shore.crab,10,EGC-36,5,12.4,5,12.4,0,0,0,MY,
29-Nov-21,D-7,purple.shore.crab,2,EGC-25,5,14.8,5,14.8,0,0,0,LV/MY,
29-Nov-21,D-7,purple.shore.crab,4,NA,NA,NA,NA,NA,NA,NA,NA,LV/MY,
29-Nov-21,D-7,purple.shore.crab,6,EGC-42,5,13.6,5,13.6,0,0,0,LV/MY,
29-Nov-21,D-7,purple.shore.crab,8,NA,NA,NA,NA,NA,NA,NA,NA,LV/MY,
29-Nov-21,D-7,purple.shore.crab,10,EGC-27,5,11.4,5,11.4,0,0,0,LV/MY,
24-Nov-21,E-6,purple.shore.crab,2,EGC-08,5,12.5,5,12.5,0,0,0,CW/BH,
24-Nov-21,E-6,purple.shore.crab,4,EGC-11,5,18.1,5,18.1,0,0,0,CW/BH,
24-Nov-21,E-6,purple.shore.crab,6,EGC-35,5,15.2,5,15.2,0,0,0,CW/BH,
24-Nov-21,E-6,purple.shore.crab,8,NA,NA,NA,NA,NA,NA,NA,NA,CW/BH,
24-Nov-21,E-6,purple.shore.crab,10,EGC-30,5,12.7,4,10.4,1,0,2.3,CW/BH,may have been a moulted crab that was then eaten
30-Nov-21,E-7,purple.shore.crab,2,EGC-05,5,12.1,4,10.7,1,0,1.4,MY,
30-Nov-21,E-7,purple.shore.crab,4,EGC-09,5,14,5,14,0,0,0,MY,
30-Nov-21,E-7,purple.shore.crab,6,EGC-29,5,14,5,14,0,0,0,MY,
30-Nov-21,E-7,purple.shore.crab,8,GRA-Sm06,5,12.1,5,12.1,0,0,0,MY,
30-Nov-21,E-7,purple.shore.crab,10,EGC-14,5,14.6,5,14.6,0,0,0,MY,
25-Nov-21,F-6,purple.shore.crab,2,GRA-Lg03,5,16.3,5,16.3,0,0,0,BH/?,
25-Nov-21,F-6,purple.shore.crab,4,EGC-02,5,20.7,4,17.4,1,1,3.3,BH/?,
25-Nov-21,F-6,purple.shore.crab,6,EGC-07,5,15.2,5,15.2,0,0,0,BH/?,
25-Nov-21,F-6,purple.shore.crab,8,GRA-Sm05,5,16.2,5,16.2,0,0,0,BH/?,
25-Nov-21,F-6,purple.shore.crab,10,GRA-Sm33,5,13.3,5,13.3,0,0,0,BH/?,
01-Dec-21,F-7,purple.shore.crab,2,NA,NA,NA,NA,NA,NA,NA,NA,CW/BH,
01-Dec-21,F-7,purple.shore.crab,4,EGC-02,5,14.1,5,14.1,0,0,0,CW/BH,
01-Dec-21,F-7,purple.shore.crab,6,EGC-07,5,15.4,5,15.4,0,0,0,CW/BH,
01-Dec-21,F-7,purple.shore.crab,8,GRA-Sm05,5,14.9,5,14.9,0,0,0,CW/BH,
01-Dec-21,F-7,purple.shore.crab,10,GRA-Sm33,5,14.1,5,14.1,0,0,0,CW/BH,
