date.run,trial.no,prey,bin.no,crab.no,length,weight,eaten,by.day1,by.day2,require.correction
14-Nov-21,A-5,varnish.clam,1,EGC-20,47,18.2,1,AP,LV,maybe
14-Nov-21,A-5,varnish.clam,1,EGC-20,47,23.6,0,AP,LV,maybe
14-Nov-21,A-5,varnish.clam,1,EGC-20,32,5.5,0,AP,LV,maybe
14-Nov-21,A-5,varnish.clam,3,EGC-22,48,19,1,AP,LV,maybe
14-Nov-21,A-5,varnish.clam,3,EGC-22,44,16,0,AP,LV,maybe
14-Nov-21,A-5,varnish.clam,3,EGC-22,27,3.5,0,AP,LV,maybe
14-Nov-21,A-5,varnish.clam,5,NA,NA,NA,NA,AP,LV,NA
14-Nov-21,A-5,varnish.clam,7,EGC-13,47,17.2,0,AP,LV,maybe
14-Nov-21,A-5,varnish.clam,7,EGC-13,47,19.7,0,AP,LV,maybe
14-Nov-21,A-5,varnish.clam,7,EGC-13,33,4.9,0,AP,LV,maybe
14-Nov-21,A-5,varnish.clam,9,GRA-Sm13,45,21.8,0,AP,LV,maybe
14-Nov-21,A-5,varnish.clam,9,GRA-Sm13,48,16.6,0,AP,LV,maybe
14-Nov-21,A-5,varnish.clam,9,GRA-Sm13,38,8.3,0,AP,LV,maybe
20-Nov-21,A-6,varnish.clam,1,GRA-Lg33,46,18.5,0,MY,LV,maybe
20-Nov-21,A-6,varnish.clam,1,GRA-Lg33,48,16.1,0,MY,LV,maybe
20-Nov-21,A-6,varnish.clam,1,GRA-Lg33,27,3.3,0,MY,LV,maybe
20-Nov-21,A-6,varnish.clam,3,GRA-Lg22,49,21.9,0,MY,LV,maybe
20-Nov-21,A-6,varnish.clam,3,GRA-Lg22,47,19.5,1,MY,LV,maybe
20-Nov-21,A-6,varnish.clam,3,GRA-Lg22,29,3.5,0,MY,LV,maybe
20-Nov-21,A-6,varnish.clam,5,EGC-03,51,23.6,1,MY,LV,maybe
20-Nov-21,A-6,varnish.clam,5,EGC-03,48,23.2,0,MY,LV,maybe
